year,country,isocode,tasa_homicidio
1998,Brunei,BRN,1.2804692
1999,Brunei,BRN,1.252303
2000,Brunei,BRN,1.2254001
2003,Brunei,BRN,0.86545867
2004,Brunei,BRN,0.5667159
2005,Brunei,BRN,0.5572342
2006,Brunei,BRN,0.8226785
2007,Brunei,BRN,0.80890334
2008,Brunei,BRN,0.26469523
2009,Brunei,BRN,0.7793169
2010,Brunei,BRN,0.25488618
2011,Brunei,BRN,0.25038278
2012,Brunei,BRN,0.9862991
2013,Brunei,BRN,0.48637897
2023,Brunei,BRN,NA
1990,Bulgaria,BGR,2.5730062
1991,Bulgaria,BGR,4.312428
1992,Bulgaria,BGR,5.3977633
1993,Bulgaria,BGR,5.7874928
1994,Bulgaria,BGR,5.8453703
1995,Bulgaria,BGR,5.910806
1996,Bulgaria,BGR,5.282583
1997,Bulgaria,BGR,4.843557
1998,Bulgaria,BGR,4.681628
1999,Bulgaria,BGR,4.053319
2000,Bulgaria,BGR,4.1497307
2001,Bulgaria,BGR,3.8847432
2002,Bulgaria,BGR,3.2434733
2003,Bulgaria,BGR,3.1648774
2004,Bulgaria,BGR,3.1486187
2005,Bulgaria,BGR,2.5860782
2006,Bulgaria,BGR,2.4344614
2007,Bulgaria,BGR,2.3329723
2008,Bulgaria,BGR,2.2825017
2009,Bulgaria,BGR,2.003202
2010,Bulgaria,BGR,1.9898896
2011,Bulgaria,BGR,1.7344115
2012,Bulgaria,BGR,1.9270157
2013,Bulgaria,BGR,1.5004269
2014,Bulgaria,BGR,1.5505058
2015,Bulgaria,BGR,1.7554817
2016,Bulgaria,BGR,1.1083933
2017,Bulgaria,BGR,1.4556997
2018,Bulgaria,BGR,1.309656
2019,Bulgaria,BGR,1.1898842
2020,Bulgaria,BGR,0.9951466
2021,Bulgaria,BGR,1.2941265
2022,Bulgaria,BGR,1.1134121
2023,Bulgaria,BGR,1.0889074
2023,Burkina Faso,BFA,NA
2012,Burundi,BDI,4.964737
2013,Burundi,BDI,4.981158
2014,Burundi,BDI,5.222326
2015,Burundi,BDI,4.1728597
2016,Burundi,BDI,5.649742
2023,Burundi,BDI,NA
1992,Cambodia,KHM,5.2877555
1993,Cambodia,KHM,6.9518743
1994,Cambodia,KHM,3.2795184
1995,Cambodia,KHM,3.9626703
1996,Cambodia,KHM,5.0179286
1997,Cambodia,KHM,2.7396119
1998,Cambodia,KHM,6.5764527
1999,Cambodia,KHM,4.7367744
2000,Cambodia,KHM,4.581805
2001,Cambodia,KHM,3.215235
2002,Cambodia,KHM,3.3060446
2003,Cambodia,KHM,3.9000938
2004,Cambodia,KHM,3.858138
2005,Cambodia,KHM,3.3335314
2006,Cambodia,KHM,2.9327605
2007,Cambodia,KHM,2.8392322
2008,Cambodia,KHM,2.36952
2009,Cambodia,KHM,2.3184452
2010,Cambodia,KHM,2.2826443
2011,Cambodia,KHM,1.8203326
2023,Cambodia,KHM,NA
2000,Cameroon,CMR,3.0779276
2001,Cameroon,CMR,4.9315815
2002,Cameroon,CMR,6.5562186
2003,Cameroon,CMR,6.2003646
2008,Cameroon,CMR,4.1778703
2009,Cameroon,CMR,6.680976
2010,Cameroon,CMR,5.0792994
2011,Cameroon,CMR,4.1270633
2012,Cameroon,CMR,4.228832
2015,Cameroon,CMR,3.782385
2016,Cameroon,CMR,3.3554814
2017,Cameroon,CMR,4.161037
2020,Cameroon,CMR,4.5859385
2022,Cameroon,CMR,6.7600894
2023,Cameroon,CMR,NA
1990,Canada,CAN,2.3642073
1991,Canada,CAN,2.6778271
1992,Canada,CAN,2.5719244
1993,Canada,CAN,2.1713014
1994,Canada,CAN,2.0447805
1995,Canada,CAN,1.992591
1996,Canada,CAN,2.1298606
1997,Canada,CAN,1.9494935
1998,Canada,CAN,1.8430616
1999,Canada,CAN,1.7614692
2000,Canada,CAN,1.7674592
2001,Canada,CAN,1.7748687
2002,Canada,CAN,1.8455346
2003,Canada,CAN,1.7244368
2004,Canada,CAN,1.9450605
2005,Canada,CAN,2.0468447
2006,Canada,CAN,1.8559688
2007,Canada,CAN,1.8040521
2008,Canada,CAN,1.8356256
2009,Canada,CAN,1.8033268
2010,Canada,CAN,1.6288027
2011,Canada,CAN,1.7623847
2012,Canada,CAN,1.5720516
2013,Canada,CAN,1.4421947
2014,Canada,CAN,1.473301
2015,Canada,CAN,1.6990045
2016,Canada,CAN,1.6944797
2017,Canada,CAN,1.8066481
2018,Canada,CAN,1.7750366
2019,Canada,CAN,1.8235747
2020,Canada,CAN,2.004092
2021,Canada,CAN,2.0830052
2022,Canada,CAN,2.271951
2023,Canada,CAN,1.9796889
2003,Cape Verde,CPV,3.1686816
2004,Cape Verde,CPV,4.3807545
2005,Cape Verde,CPV,9.070005
2006,Cape Verde,CPV,7.132268
2013,Cape Verde,CPV,10.542242
2014,Cape Verde,CPV,12.687246
2015,Cape Verde,CPV,8.977475
2016,Cape Verde,CPV,12.096274
2017,Cape Verde,CPV,7.4089527
2018,Cape Verde,CPV,6.0380006
2019,Cape Verde,CPV,6.418935
2020,Cape Verde,CPV,6.994644
2023,Cape Verde,CPV,NA
1990,Cayman Islands,CYM,7.6926036
1991,Cayman Islands,CYM,7.3274837
1992,Cayman Islands,CYM,3.493938
1993,Cayman Islands,CYM,6.672004
1994,Cayman Islands,CYM,6.3791785
1995,Cayman Islands,CYM,6.1081758
1996,Cayman Islands,CYM,2.928858
1997,Cayman Islands,CYM,5.626987
1998,Cayman Islands,CYM,2.7084491
1999,Cayman Islands,CYM,0
2000,Cayman Islands,CYM,10.08217
2001,Cayman Islands,CYM,4.8674827
2002,Cayman Islands,CYM,0
2003,Cayman Islands,CYM,6.8283467
2004,Cayman Islands,CYM,11.024994
2005,Cayman Islands,CYM,6.411969
2006,Cayman Islands,CYM,2.0733123
2007,Cayman Islands,CYM,4.0251975
2008,Cayman Islands,CYM,7.8199077
2009,Cayman Islands,CYM,15.203778
2010,Cayman Islands,CYM,16.63632
2013,Cayman Islands,CYM,8.524423
2014,Cayman Islands,CYM,8.311101
2017,Cayman Islands,CYM,4.6486044
2018,Cayman Islands,CYM,10.615631
2019,Cayman Islands,CYM,2.9705765
2020,Cayman Islands,CYM,4.367798
2023,Cayman Islands,CYM,NA
2023,Central African Republic,CAF,NA
2000,Central Asia (UN),NA,8.327044
2001,Central Asia (UN),NA,7.83774
2002,Central Asia (UN),NA,7.2562866
2003,Central Asia (UN),NA,6.991268
2004,Central Asia (UN),NA,6.973461
2005,Central Asia (UN),NA,6.30518
2006,Central Asia (UN),NA,6.030254
2007,Central Asia (UN),NA,5.5544734
2008,Central Asia (UN),NA,5.5758395
2009,Central Asia (UN),NA,5.069061
2010,Central Asia (UN),NA,5.002706
2011,Central Asia (UN),NA,4.1483197
2012,Central Asia (UN),NA,3.666135
2013,Central Asia (UN),NA,3.1758666
2014,Central Asia (UN),NA,2.7488878
2015,Central Asia (UN),NA,2.5060754
2016,Central Asia (UN),NA,2.775826
2017,Central Asia (UN),NA,2.556409
2018,Central Asia (UN),NA,2.1266944
2019,Central Asia (UN),NA,1.8190944
2020,Central Asia (UN),NA,1.7052283
2021,Central Asia (UN),NA,1.7119471
2022,Central Asia (UN),NA,1.5199182
2023,Central Asia (UN),NA,1.418703
2023,Chad,TCD,NA
2005,Channel Islands,OWID_CIS,0.653057
2006,Channel Islands,OWID_CIS,1.2968949
2008,Channel Islands,OWID_CIS,0.6393535
2010,Channel Islands,OWID_CIS,0
2003,Chile,CHL,3.2012978
2005,Chile,CHL,3.5231993
2006,Chile,CHL,3.5737662
2007,Chile,CHL,3.6949105
2008,Chile,CHL,3.4918964
2009,Chile,CHL,3.7037623
2010,Chile,CHL,3.1487422
2011,Chile,CHL,3.6653225
2012,Chile,CHL,2.4772935
2013,Chile,CHL,3.1435506
2014,Chile,CHL,2.4518318
2015,Chile,CHL,2.321635
2016,Chile,CHL,3.3940575
2017,Chile,CHL,4.1974545
2018,Chile,CHL,4.3666525
2019,Chile,CHL,4.8130655
2020,Chile,CHL,5.756139
2021,Chile,CHL,4.6565814
2022,Chile,CHL,6.8020124
2023,Chile,CHL,6.348291
1995,China,CHN,2.242049
1996,China,CHN,2.0643492
1997,China,CHN,2.100489
2002,China,CHN,2.0418584
2003,China,CHN,1.8843317
2004,China,CHN,1.8977801
2005,China,CHN,1.5854633
2006,China,CHN,1.3636012
2007,China,CHN,1.2157818
2008,China,CHN,1.1104188
2009,China,CHN,1.0924954
2010,China,CHN,0.9921857
2011,China,CHN,0.8832931
2012,China,CHN,0.8240838
2013,China,CHN,0.77156913
2014,China,CHN,0.72646606
2015,China,CHN,0.6589624
2016,China,CHN,0.6149342
2017,China,CHN,0.5657219
2018,China,CHN,0.53029966
2019,China,CHN,0.5183628
2020,China,CHN,0.5018561
2023,China,CHN,NA
2023,Christmas Island,CXR,NA
2023,Cocos Islands,CCK,NA
1990,Colombia,COL,74.99984
1991,Colombia,COL,85.877335
1992,Colombia,COL,83.482
1993,Colombia,COL,82.57777
1994,Colombia,COL,77.08795
1995,Colombia,COL,62.34104
1996,Colombia,COL,64.037964
1997,Colombia,COL,62.498066
1998,Colombia,COL,61.094673
1999,Colombia,COL,63.333992
2000,Colombia,COL,67.89216
2001,Colombia,COL,70.10959
2002,Colombia,COL,70.396095
2003,Colombia,COL,57.46086
2004,Colombia,COL,48.648186
2005,Colombia,COL,42.989414
2006,Colombia,COL,40.942974
2007,Colombia,COL,39.777615
2008,Colombia,COL,36.884003
2009,Colombia,COL,35.72724
2010,Colombia,COL,34.524174
2011,Colombia,COL,35.63221
2012,Colombia,COL,35.9613
2013,Colombia,COL,33.41597
2014,Colombia,COL,28.654305
2015,Colombia,COL,27.215279
2016,Colombia,COL,26.143867
2017,Colombia,COL,25.551058
2018,Colombia,COL,23.820759
2019,Colombia,COL,23.399061
2020,Colombia,COL,22.642704
2021,Colombia,COL,25.580128
2022,Colombia,COL,24.948807
2023,Colombia,COL,24.913443
2023,Comoros,COM,NA
2023,Congo,COG,NA
2012,Cook Islands,COK,3.556396
2023,Cook Islands,COK,NA
1990,Costa Rica,CRI,4.4526935
1991,Costa Rica,CRI,4.1221967
1992,Costa Rica,CRI,4.8717246
1993,Costa Rica,CRI,4.751393
1994,Costa Rica,CRI,5.273648
1995,Costa Rica,CRI,5.204833
1996,Costa Rica,CRI,5.2224183
1997,Costa Rica,CRI,5.6730523
1998,Costa Rica,CRI,5.921479
1999,Costa Rica,CRI,6.3436975
2000,Costa Rica,CRI,6.323426
2001,Costa Rica,CRI,6.4106607
2002,Costa Rica,CRI,6.330193
2003,Costa Rica,CRI,7.248505
2004,Costa Rica,CRI,6.6665435
2005,Costa Rica,CRI,7.8615613
2006,Costa Rica,CRI,8.122481
2007,Costa Rica,CRI,8.424182
2008,Costa Rica,CRI,11.531387
2009,Costa Rica,CRI,11.667209
2010,Costa Rica,CRI,11.567261
2011,Costa Rica,CRI,10.282368
2012,Costa Rica,CRI,8.72654
2013,Costa Rica,CRI,8.714741
2014,Costa Rica,CRI,10.006043
2015,Costa Rica,CRI,11.560721
2016,Costa Rica,CRI,11.875905
2017,Costa Rica,CRI,12.273118
2018,Costa Rica,CRI,11.799545
2019,Costa Rica,CRI,11.261005
2020,Costa Rica,CRI,11.322284
2021,Costa Rica,CRI,11.620582
2022,Costa Rica,CRI,12.908902
2023,Costa Rica,CRI,17.74548
2023,Cote d'Ivoire,CIV,NA
1990,Croatia,HRV,2.8334672
1991,Croatia,HRV,9.0567
1992,Croatia,HRV,8.092455
1993,Croatia,HRV,4.6091304
1994,Croatia,HRV,3.0584872
1995,Croatia,HRV,3.5935714
1996,Croatia,HRV,2.6740904
1997,Croatia,HRV,2.6195323
1998,Croatia,HRV,2.36185
1999,Croatia,HRV,2.5308824
2000,Croatia,HRV,2.3346639
2001,Croatia,HRV,1.8832504
2002,Croatia,HRV,1.6953949
2003,Croatia,HRV,1.60216
2004,Croatia,HRV,1.9257293
2005,Croatia,HRV,1.5762831
2006,Croatia,HRV,1.71463
2007,Croatia,HRV,1.4365305
2008,Croatia,HRV,1.6455638
2009,Croatia,HRV,1.136751
2010,Croatia,HRV,1.4414765
2011,Croatia,HRV,1.1446395
2012,Croatia,HRV,1.1973977
2013,Croatia,HRV,1.0842925
2014,Croatia,HRV,0.8531859
2015,Croatia,HRV,0.8843786
2016,Croatia,HRV,1.0637157
2017,Croatia,HRV,1.1276721
2018,Croatia,HRV,0.59629285
2019,Croatia,HRV,0.82782817
2020,Croatia,HRV,1.0116445
2021,Croatia,HRV,0.8408479
2022,Croatia,HRV,0.7934422
2023,Croatia,HRV,0.66734713
1992,Cuba,CUB,6.2396846
1993,Cuba,CUB,7.3978205
1994,Cuba,CUB,8.2766695
1995,Cuba,CUB,7.7983685
1996,Cuba,CUB,6.6776075
1997,Cuba,CUB,6.792185
1998,Cuba,CUB,7.4129705
1999,Cuba,CUB,5.500247
2000,Cuba,CUB,5.283952
2001,Cuba,CUB,5.428866
2002,Cuba,CUB,5.913709
2003,Cuba,CUB,5.7273445
2004,Cuba,CUB,5.872536
2005,Cuba,CUB,6.0732226
2006,Cuba,CUB,5.1070395
2007,Cuba,CUB,5.0322165
2008,Cuba,CUB,4.5608473
2009,Cuba,CUB,5.0023375
2010,Cuba,CUB,4.4700513
2011,Cuba,CUB,4.7250066
2012,Cuba,CUB,5.4940314
2013,Cuba,CUB,5.965569
2014,Cuba,CUB,5.3164268
2015,Cuba,CUB,5.4899907
2016,Cuba,CUB,5.0773983
2017,Cuba,CUB,4.587552
2018,Cuba,CUB,4.3733397
2019,Cuba,CUB,4.4631515
2023,Cuba,CUB,NA
2001,Curacao,CUW,6.9084153
2002,Curacao,CUW,26.730453
2003,Curacao,CUW,29.071438
2004,Curacao,CUW,27.370466
2005,Curacao,CUW,17.182926
2006,Curacao,CUW,11.802892
2007,Curacao,CUW,16.919813
2023,Curacao,CUW,NA
1990,Cyprus,CYP,0.6342357
1991,Cyprus,CYP,0.12516522
1992,Cyprus,CYP,0.24680983
1993,Cyprus,CYP,0.6053016
1994,Cyprus,CYP,0.828729
1995,Cyprus,CYP,1.0432425
1996,Cyprus,CYP,1.1359886
1997,Cyprus,CYP,0.668473
1998,Cyprus,CYP,0.7654054
1999,Cyprus,CYP,1.0738446
2000,Cyprus,CYP,0.84417886
2001,Cyprus,CYP,0.7260454
2002,Cyprus,CYP,0.2037822
2004,Cyprus,CYP,1.5719014
2005,Cyprus,CYP,1.9302197
2006,Cyprus,CYP,1.4225857
2007,Cyprus,CYP,1.21188
2008,Cyprus,CYP,0.82491124
2009,Cyprus,CYP,1.7126822
2010,Cyprus,CYP,0.70933527
2011,Cyprus,CYP,0.78500295
2012,Cyprus,CYP,1.8877687
2013,Cyprus,CYP,1.0136034
2014,Cyprus,CYP,0.91529334
2015,Cyprus,CYP,1.2300107
2016,Cyprus,CYP,1.0508341
2017,Cyprus,CYP,0.5580911
2018,Cyprus,CYP,1.180417
2019,Cyprus,CYP,1.1657988
2020,Cyprus,CYP,1.1518548
2021,Cyprus,CYP,1.2145978
2022,Cyprus,CYP,0.6008848
2023,Cyprus,CYP,0.81785876
2024,Cyprus,CYP,0.9570879
1994,Czechia,CZE,2.0053613
1995,Czechia,CZE,1.7067424
1996,Czechia,CZE,1.6802433
1997,Czechia,CZE,1.8190571
1998,Czechia,CZE,1.69501
1999,Czechia,CZE,1.6778232
2000,Czechia,CZE,1.8658167
2001,Czechia,CZE,1.3193984
2002,Czechia,CZE,1.3574924
2003,Czechia,CZE,1.5904127
2004,Czechia,CZE,1.3058584
2005,Czechia,CZE,1.0505681
2006,Czechia,CZE,1.2615739
2007,Czechia,CZE,1.2188582
2008,Czechia,CZE,1.0984466
2009,Czechia,CZE,0.9020261
2010,Czechia,CZE,0.98432386
2011,Czechia,CZE,0.8193979
2012,Czechia,CZE,0.9993019
2013,Czechia,CZE,0.8562326
2014,Czechia,CZE,0.7701651
2015,Czechia,CZE,0.8361509
2016,Czechia,CZE,0.6171698
2017,Czechia,CZE,0.62610626
2019,Czechia,CZE,0.86216086
2020,Czechia,CZE,0.72984886
2021,Czechia,CZE,0.44631484
2022,Czechia,CZE,0.81512475
2023,Czechia,CZE,0.76782775
2023,Czechoslovakia,OWID_CZS,NA
2023,Democratic Republic of Congo,COD,NA
2023,Democratic Republic of Vietnam,NA,NA
1990,Denmark,DNK,0.79750633
1991,Denmark,DNK,1.3192754
1992,Denmark,DNK,1.1989093
1993,Denmark,DNK,1.3683748
1994,Denmark,DNK,1.440593
1995,Denmark,DNK,1.1273828
1996,Denmark,DNK,1.2920221
1997,Denmark,DNK,1.6650789
1998,Denmark,DNK,0.92378545
1999,Denmark,DNK,0.9771113
2000,Denmark,DNK,1.0862118
2001,Denmark,DNK,0.9703614
2002,Denmark,DNK,0.8928639
2010,Denmark,DNK,0.7570483
2011,Denmark,DNK,0.8257269
2012,Denmark,DNK,0.840499
2013,Denmark,DNK,0.8548024
2014,Denmark,DNK,1.3111748
2015,Denmark,DNK,1.0908386
2016,Denmark,DNK,0.97761935
2017,Denmark,DNK,1.2315339
2018,Denmark,DNK,1.0010659
2019,Denmark,DNK,0.85990167
2020,Denmark,DNK,0.8231116
2021,Denmark,DNK,0.6317468
2022,Denmark,DNK,0.9825673
2023,Denmark,DNK,0.8405994
2023,Djibouti,DJI,NA
1998,Dominica,DMA,13.019986
1999,Dominica,DMA,10.164151
2000,Dominica,DMA,2.9192393
2001,Dominica,DMA,1.4643861
2002,Dominica,DMA,13.164246
2003,Dominica,DMA,11.67355
2004,Dominica,DMA,11.653483
2005,Dominica,DMA,11.638988
2006,Dominica,DMA,7.266755
2007,Dominica,DMA,10.167399
2008,Dominica,DMA,10.166439
2009,Dominica,DMA,18.877789
2010,Dominica,DMA,21.783804
2011,Dominica,DMA,8.688915
2014,Dominica,DMA,12.788996
2015,Dominica,DMA,12.782275
2016,Dominica,DMA,22.986359
2017,Dominica,DMA,27.738644
2018,Dominica,DMA,19.068714
2019,Dominica,DMA,19.151302
2020,Dominica,DMA,22.198215
2021,Dominica,DMA,14.880509
2022,Dominica,DMA,28.431835
2023,Dominica,DMA,NA
1991,Dominican Republic,DOM,12.438606
1992,Dominican Republic,DOM,10.835889
1993,Dominican Republic,DOM,12.245589
1994,Dominican Republic,DOM,12.981654
1995,Dominican Republic,DOM,12.76604
1996,Dominican Republic,DOM,12.847177
1997,Dominican Republic,DOM,12.698679
1998,Dominican Republic,DOM,13.489184
1999,Dominican Republic,DOM,12.621048
2000,Dominican Republic,DOM,14.09568
2001,Dominican Republic,DOM,12.5569315
2002,Dominican Republic,DOM,14.448329
2003,Dominican Republic,DOM,21.178938
2004,Dominican Republic,DOM,24.591175
2005,Dominican Republic,DOM,25.951124
2006,Dominican Republic,DOM,22.952126
2007,Dominican Republic,DOM,22.325258
2008,Dominican Republic,DOM,25.007496
2009,Dominican Republic,DOM,24.496494
2010,Dominican Republic,DOM,25.193033
2011,Dominican Republic,DOM,25.2674
2012,Dominican Republic,DOM,22.521425
2013,Dominican Republic,DOM,19.403889
2014,Dominican Republic,DOM,17.546364
2016,Dominican Republic,DOM,15.31546
2017,Dominican Republic,DOM,11.399812
2018,Dominican Republic,DOM,9.905349
2019,Dominican Republic,DOM,9.417991
2020,Dominican Republic,DOM,8.729776
2021,Dominican Republic,DOM,10.536275
2022,Dominican Republic,DOM,12.367847
2023,Dominican Republic,DOM,10.9166975
2023,Duchy of Modena and Reggio,NA,NA
2023,Duchy of Parma and Piacenza,NA,NA
2023,East Germany,OWID_GDR,NA
2004,East Timor,TLS,2.4755833
2005,East Timor,TLS,4.850732
2006,East Timor,TLS,5.0174227
2007,East Timor,TLS,6.1698356
2008,East Timor,TLS,3.390062
2009,East Timor,TLS,3.0223408
2010,East Timor,TLS,3.5955322
2015,East Timor,TLS,4.065946
2023,East Timor,TLS,NA
2000,Eastern Asia (UN),NA,2.0703428
2001,Eastern Asia (UN),NA,2.0183036
2002,Eastern Asia (UN),NA,1.9495516
2003,Eastern Asia (UN),NA,1.8166053
2004,Eastern Asia (UN),NA,1.8279161
2005,Eastern Asia (UN),NA,1.558566
2006,Eastern Asia (UN),NA,1.3622277
2007,Eastern Asia (UN),NA,1.2274138
2008,Eastern Asia (UN),NA,1.1353023
2009,Eastern Asia (UN),NA,1.1142973
2010,Eastern Asia (UN),NA,1.0181671
2011,Eastern Asia (UN),NA,0.9159785
2012,Eastern Asia (UN),NA,0.85924834
2013,Eastern Asia (UN),NA,0.7949559
2014,Eastern Asia (UN),NA,0.7575416
2015,Eastern Asia (UN),NA,0.6915574
2016,Eastern Asia (UN),NA,0.64619154
2017,Eastern Asia (UN),NA,0.5949829
2018,Eastern Asia (UN),NA,0.5627971
2019,Eastern Asia (UN),NA,0.5497189
2020,Eastern Asia (UN),NA,0.53237176
2021,Eastern Asia (UN),NA,0.4932933
2022,Eastern Asia (UN),NA,0.41538167
2023,Eastern Asia (UN),NA,0.4245377
2000,Eastern Europe (UN),NA,16.158865
2001,Eastern Europe (UN),NA,16.965906
2002,Eastern Europe (UN),NA,17.213556
2003,Eastern Europe (UN),NA,16.315113
2004,Eastern Europe (UN),NA,15.213125
2005,Eastern Europe (UN),NA,13.818232
2006,Eastern Europe (UN),NA,11.487479
2007,Eastern Europe (UN),NA,10.182473
2008,Eastern Europe (UN),NA,7.6438303
2009,Eastern Europe (UN),NA,7.354331
2010,Eastern Europe (UN),NA,6.932288
2011,Eastern Europe (UN),NA,6.780009
2012,Eastern Europe (UN),NA,6.853584
2013,Eastern Europe (UN),NA,6.827814
2014,Eastern Europe (UN),NA,7.0804896
2015,Eastern Europe (UN),NA,7.15133
2016,Eastern Europe (UN),NA,6.8205194
2017,Eastern Europe (UN),NA,5.888278
2018,Eastern Europe (UN),NA,5.155761
2019,Eastern Europe (UN),NA,4.8146586
2020,Eastern Europe (UN),NA,4.6059656
2021,Eastern Europe (UN),NA,4.3120303
2022,Eastern Europe (UN),NA,4.150349
2023,Eastern Europe (UN),NA,3.9497898
1990,Ecuador,ECU,8.516592
1991,Ecuador,ECU,10.773304
1992,Ecuador,ECU,8.5543375
1993,Ecuador,ECU,8.30175
1994,Ecuador,ECU,10.015655
1995,Ecuador,ECU,11.838392
1996,Ecuador,ECU,12.383847
1997,Ecuador,ECU,10.942984
1998,Ecuador,ECU,13.409254
1999,Ecuador,ECU,13.487513
2000,Ecuador,ECU,14.445349
2001,Ecuador,ECU,12.842021
2002,Ecuador,ECU,14.507014
2007,Ecuador,ECU,15.863187
2008,Ecuador,ECU,17.886543
2009,Ecuador,ECU,17.705437
2010,Ecuador,ECU,17.404345
2011,Ecuador,ECU,15.28752
2012,Ecuador,ECU,12.342512
2013,Ecuador,ECU,10.912799
2014,Ecuador,ECU,8.169565
2015,Ecuador,ECU,6.4550934
2016,Ecuador,ECU,5.810312
2017,Ecuador,ECU,5.7877555
2018,Ecuador,ECU,5.830067
2019,Ecuador,ECU,6.8454356
2020,Ecuador,ECU,7.8194175
2021,Ecuador,ECU,14.115687
2022,Ecuador,ECU,27.412636
2023,Ecuador,ECU,45.722813
1990,Egypt,EGY,0.4606431
1991,Egypt,EGY,0.47976813
1992,Egypt,EGY,0.44892165
1993,Egypt,EGY,0.38782066
1994,Egypt,EGY,0.35933402
2003,Egypt,EGY,0.6049821
2004,Egypt,EGY,0.4051464
2005,Egypt,EGY,0.6436418
2006,Egypt,EGY,0.66384196
2007,Egypt,EGY,0.8068705
2008,Egypt,EGY,1.1261892
2009,Egypt,EGY,1.0422662
2010,Egypt,EGY,2.06175
2011,Egypt,EGY,2.9672952
2012,Egypt,EGY,2.3690171
2014,Egypt,EGY,2.9632318
2015,Egypt,EGY,1.7179173
2016,Egypt,EGY,1.5072125
2017,Egypt,EGY,1.3115252
2023,Egypt,EGY,NA
1994,El Salvador,SLV,134.28119
1995,El Salvador,SLV,138.43839
1996,El Salvador,SLV,116.99682
1997,El Salvador,SLV,112.46321
1998,El Salvador,SLV,94.95338
1999,El Salvador,SLV,65.01631
2000,El Salvador,SLV,59.747288
2001,El Salvador,SLV,60.15355
2002,El Salvador,SLV,47.35552
2003,El Salvador,SLV,55.9464
2004,El Salvador,SLV,64.899475
2005,El Salvador,SLV,64.639915
2006,El Salvador,SLV,65.424706
2007,El Salvador,SLV,58.188057
2008,El Salvador,SLV,52.725887
2009,El Salvador,SLV,72.45036
2010,El Salvador,SLV,65.70264
2011,El Salvador,SLV,71.771904
2012,El Salvador,SLV,42.42739
2013,El Salvador,SLV,40.93608
2014,El Salvador,SLV,63.622078
2015,El Salvador,SLV,107.63823
2016,El Salvador,SLV,85.0858
2017,El Salvador,SLV,63.76404
2018,El Salvador,SLV,53.795876
2019,El Salvador,SLV,38.538696
2020,El Salvador,SLV,21.508745
2021,El Salvador,SLV,17.343956
2022,El Salvador,SLV,7.897688
2023,El Salvador,SLV,NA
1991,England and Wales,NA,1.2256633
1992,England and Wales,NA,1.1420002
1993,England and Wales,NA,1.1101114
1994,England and Wales,NA,1.2383543
1995,England and Wales,NA,1.2911537
1996,England and Wales,NA,1.1398464
1997,England and Wales,NA,1.1772772
1998,England and Wales,NA,1.2374299
1999,England and Wales,NA,1.2901121
2000,England and Wales,NA,1.457609
2001,England and Wales,NA,1.5106958
2002,England and Wales,NA,1.7946037
2003,England and Wales,NA,1.4679388
2004,England and Wales,NA,1.463726
2005,England and Wales,NA,1.32337
2006,England and Wales,NA,1.3197196
2007,England and Wales,NA,1.3422228
2008,England and Wales,NA,1.1615244
2009,England and Wales,NA,1.0717793
2010,England and Wales,NA,1.1365999
2011,England and Wales,NA,0.9346472
2012,England and Wales,NA,0.9599101
2013,England and Wales,NA,0.91311
2014,England and Wales,NA,0.8779164
2015,England and Wales,NA,0.92942244
2016,England and Wales,NA,1.1801741
2017,England and Wales,NA,1.1864921
2018,England and Wales,NA,1.0843123
2019,England and Wales,NA,1.1372844
2020,England and Wales,NA,0.9326902
2021,England and Wales,NA,1.1476983
2023,Equatorial Guinea,GNQ,NA
2012,Eritrea,ERI,15.607567
2023,Eritrea,ERI,NA
1990,Estonia,EST,7.514471
1991,Estonia,EST,7.601971
1992,Estonia,EST,14.088969
1993,Estonia,EST,18.745737
1994,Estonia,EST,20.46467
1995,Estonia,EST,16.933088
1996,Estonia,EST,14.91652
1997,Estonia,EST,12.522019
1998,Estonia,EST,13.8888645
1999,Estonia,EST,11.185702
2000,Estonia,EST,10.236242
2001,Estonia,EST,9.869098
2002,Estonia,EST,10.294069
2007,Estonia,EST,7.1604147
2008,Estonia,EST,6.4319553
2009,Estonia,EST,5.2452984
2010,Estonia,EST,5.257432
2011,Estonia,EST,4.8969474
2012,Estonia,EST,4.763287
2013,Estonia,EST,3.9456127
2014,Estonia,EST,3.1191707
2015,Estonia,EST,3.423157
2016,Estonia,EST,2.5078866
2017,Estonia,EST,2.2012646
2018,Estonia,EST,2.1180599
2019,Estonia,EST,1.9595703
2020,Estonia,EST,3.1586797
2021,Estonia,EST,1.9523191
2022,Estonia,EST,1.481381
2023,Estonia,EST,1.5359905
1990,Eswatini,SWZ,18.68348
1991,Eswatini,SWZ,18.718561
1992,Eswatini,SWZ,18.443613
1993,Eswatini,SWZ,17.913794
1994,Eswatini,SWZ,15.65054
1998,Eswatini,SWZ,16.181984
1999,Eswatini,SWZ,11.059565
2000,Eswatini,SWZ,12.290987
2001,Eswatini,SWZ,17.506062
2002,Eswatini,SWZ,12.648173
2003,Eswatini,SWZ,12.655854
2004,Eswatini,SWZ,13.6047
2005,Eswatini,SWZ,12.882042
2006,Eswatini,SWZ,11.711157
2007,Eswatini,SWZ,11.093742
2008,Eswatini,SWZ,19.761559
2009,Eswatini,SWZ,16.920727
2010,Eswatini,SWZ,18.710926
2011,Eswatini,SWZ,15.386907
2012,Eswatini,SWZ,9.253793
